school,conference,song_name,color_code,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,new_writers
Georgia Tech,ACC,Ramblin' Wreck From Georgia Tech,"rgb(165,145,84)",Unknown,1,1,0,148,68,0,0,0,0,0,0,1,1,1,0,3,0ZOzvjnZDwrtluHrwbtvGR,0.495,0.665,3,-11.173,1,0.0654,0.688,0.95,0.183,0.73,148.157,68027,4,Unknown
Louisville,ACC,Fight! U of L,"rgb(201,0,32)",1962,0,1,0,139,80,1,3,1,1,1,0,0,0,0,1,5,1sCmJDLWfD4hsCHyc9hqUr,0.545,0.8,10,-10.335,1,0.0322,0.74,0.97,0.196,0.485,139.464,80387,4,Robert B. Griffith
Miami,ACC,Miami U How-Dee-Doo,"rgb(231,92,36)",1950,0,1,0,75,73,1,3,1,0,0,0,0,0,0,1,3,2TDHghruqAnMmH4L9GFUUr,0.6509999999999999,0.713,3,-14.37,1,0.036000000000000004,0.875,0.94,0.134,0.6890000000000001,74.586,73053,4,Henry Fillmore
North Carolina,ACC,I'm a Tar Heel Born,"rgb(123,175,212)",Unknown,Unknown,1,0,158,38,0,0,0,0,1,0,0,0,0,0,1,23cCr6w4YgxQaYlr3eNTUr,0.512,0.971,3,-8.1,1,0.0437,0.6609999999999999,0.745,0.35,0.0852,157.571,38200,4,Unknown
North Carolina State,ACC,The Red & White Song,"rgb(204,0,1)",1961,0,0,0,90,82,0,0,0,0,0,0,1,0,1,1,3,2Pn76lkyMhOxJj8maIrIRT,0.489,0.7809999999999999,1,-10.038,1,0.0434,0.461,0.7240000000000001,0.195,0.40700000000000003,90.094,82120,4,J. Perry Watson
Pitt,ACC,Hail to Pitt,"rgb(27,65,132)",1911,1,1,0,79,110,0,0,1,1,0,1,1,1,0,1,6,55nndPja6lpTsGMinT1SJy,0.465,0.847,0,-9.898,1,0.0441,0.0584,0.9440000000000001,0.27399999999999997,0.271,78.70100000000001,110040,4,George Kirk and Lester Milton Taylor
Syracuse,ACC,Down the Field,"rgb(247,81,21)",1914,1,1,0,137,85,1,3,1,0,1,0,1,1,1,0,6,4zrPkQ9AFljRbPy0JNW6cA,0.568,0.4,4,-19.338,1,0.0447,0.8340000000000001,0.0372,0.5760000000000001,0.705,137.317,85840,4,Ralph Murphy and C. Harold Lewis
Virginia,ACC,The Good Old Song,"rgb(244,124,25)",1893,1,0,0,112,42,0,0,0,0,1,1,0,0,0,1,3,4zymLpKnHG2KURvrSUyUy8,0.518,0.534,1,-10.594000000000001,1,0.0403,0.17800000000000002,0.877,0.126,0.7290000000000001,111.76299999999999,42453,4,Edward H. Craighill
Virginia Tech,ACC,Tech Triumph,"rgb(106,44,62)",1919,1,1,0,133,71,0,0,0,1,0,1,1,1,0,1,5,5v3wGg8VMD8MMYGb8SXBss,0.516,0.6990000000000001,5,-11.102,1,0.0367,0.457,0.375,0.22399999999999998,0.7709999999999999,132.784,71827,4,Wilfred P. Maddux and Mattie Eppes
Wake Forest,ACC,O Here's To Wake Forest,"rgb(159,126,57)",1908,0,1,0,146,69,0,0,0,0,1,0,1,1,0,0,3,3u6THWNCTIdCcGIcJ1FQsN,0.575,0.307,8,-11.03,1,0.0483,0.7340000000000001,0.0019399999999999999,0.11199999999999999,0.401,146.317,69613,4,C.P. Weaver
