,school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,UCLA,Pac-12,Sons of Westwood, Harold P. Williams and N. Loyall McLaren; Kelly James,1959,0,1,0,72,69,1,3,0,0,0,0,1,1,1,1,5,0XxQcPAThn9dOZ6NVFUfGl,0.547,0.586,3,-8.792,1,0.0309,0.748,0.831,0.133,0.631,71.931,69400,4,0.547,0.586,3,-8.792,1,0.0309,0.748,0.831,0.133,0.631,71.931,69400,4,0.547,0.586,3,-8.792,1,0.0309,0.748,0.831,0.133,0.631,71.931,69400,4
33,USC,Pac-12,"Fight On, USC",Milo Sweet,1922,1,1,1,75,60,1,5,1,1,0,0,0,1,0,1,5,23EM48kuqZWVltXE9bApcK,0.611,0.702,5,-11.628,0,0.0791,0.464,0.403,0.936,0.33,75.17,60947,4,0.611,0.702,5,-11.628,0,0.0791,0.464,0.403,0.936,0.33,75.17,60947,4,0.611,0.702,5,-11.628,0,0.0791,0.464,0.403,0.936,0.33,75.17,60947,4
34,Utah,Pac-12,Utah Man,Harvey Holmes and the football team,1904,0,1,0,168,66,1,1,0,0,0,1,1,1,0,0,4,5pwoauvjUb3aRkDDvibaco,0.772,0.562,10,-11.03,1,0.101,0.763,0.00198,0.231,0.953,167.542,66600,4,0.772,0.562,10,-11.03,1,0.101,0.763,0.00198,0.231,0.953,167.542,66600,4,0.772,0.562,10,-11.03,1,0.101,0.763,0.00198,0.231,0.953,167.542,66600,4
35,Washington,Pac-12,Bow Down to Washington,Lester J. Wilson,1915,0,1,1,139,89,1,1,1,0,1,0,1,0,0,0,4,0OLQPcJ1jMwrXJbt81hHrx,0.527,0.748,0,-10.004,1,0.041,0.417,6.32e-05,0.237,0.929,138.998,89813,4,0.527,0.748,0,-10.004,1,0.041,0.417,6.32e-05,0.237,0.929,138.998,89813,4,0.527,0.748,0,-10.004,1,0.041,0.417,6.32e-05,0.237,0.929,138.998,89813,4
36,Washington State,Pac-12,The Fight Song,Zella Melcher and Phyllis Sayles,1919,1,1,0,81,64,1,7,1,1,0,0,1,0,0,1,5,5VErX42t9bSJGas8aOtQyD,0.681,0.85,9,-10.032,1,0.0917,0.984,0.625,0.432,0.87,81.015,64973,4,0.681,0.85,9,-10.032,1,0.0917,0.984,0.625,0.432,0.87,81.015,64973,4,0.681,0.85,9,-10.032,1,0.0917,0.984,0.625,0.432,0.87,81.015,64973,4
37,Alabama,SEC,Yea Alabama,Ethelred Lundy (Epp) Sykes,1926,1,1,1,153,59,1,3,1,1,0,0,1,1,1,0,6,1lkKK6lbsPYD6n5QZbiH1q,0.711,0.45,8,-12.36,1,0.213,0.465,0.782,0.207,0.631,153.264,59387,4,0.711,0.45,8,-12.36,1,0.213,0.465,0.782,0.207,0.631,153.264,59387,4,0.711,0.45,8,-12.36,1,0.213,0.465,0.782,0.207,0.631,153.264,59387,4
38,Arkansas,SEC,Arkansas Fight,William Edwin Douglass,1913,1,1,0,77,88,1,3,0,0,1,0,0,0,0,1,3,20iLjYvQOdAO3lPYkfycGn,0.489,0.815,3,-12.311,0,0.0379,0.107,0.591,0.954,0.481,77.105,88067,4,0.489,0.815,3,-12.311,0,0.0379,0.107,0.591,0.954,0.481,77.105,88067,4,0.489,0.815,3,-12.311,0,0.0379,0.107,0.591,0.954,0.481,77.105,88067,4
39,Auburn,SEC,War Eagle,Robert Allen and Al Stillman,1955,0,1,0,77,27,1,1,1,1,0,0,1,0,0,0,4,1WSPADIiYIO5GfNTJ2vwnM,0.877,0.635,10,-11.244,1,0.111,0.923,0.621,0.166,0.672,76.503,27827,3,0.877,0.635,10,-11.244,1,0.111,0.923,0.621,0.166,0.672,76.503,27827,3,0.877,0.635,10,-11.244,1,0.111,0.923,0.621,0.166,0.672,76.503,27827,3
40,Florida,SEC,The Orange and Blue,George Hamilton and Thornton Whitney Allen,1925,0,1,0,71,66,1,1,0,0,0,0,1,0,0,0,2,15yyBZUfgNbft50mMB7a4V,0.629,0.657,10,-10.578,1,0.029,0.732,0.963,0.262,0.42,71.196,66507,4,0.629,0.657,10,-10.578,1,0.029,0.732,0.963,0.262,0.42,71.196,66507,4,0.629,0.657,10,-10.578,1,0.029,0.732,0.963,0.262,0.42,71.196,66507,4
41,Georgia,SEC,"Glory, Glory","Hugh Hodgson, based on traditional song",1915,1,0,0,162,41,0,0,0,0,0,0,0,0,0,1,1,7masdC1Jz6f4okFu4tAwOz,0.523,0.537,10,-11.209,1,0.608,0.759,0.913,0.31,0.485,161.557,41947,4,0.523,0.537,10,-11.209,1,0.608,0.759,0.913,0.31,0.485,161.557,41947,4,0.523,0.537,10,-11.209,1,0.608,0.759,0.913,0.31,0.485,161.557,41947,4
